frenchTitle;genres;averageRating;numVotes;decade
Les belles de Saint-Trinian;Comedy, Romance, Family;6.7;3033;1950
Les briseurs de barrages;Thriller, Action, War, Drama, History;7.4;11853;1950
Les diaboliques;Thriller, Drama, Crime, Horror;8.1;71486;1950
Toubib or not toubib;Comedy;6.5;1703;1950
Détective du bon Dieu;Comedy, Drama, Crime, Mystery;6.7;1792;1950
French Cancan;Comedy, Musical, Romance, Drama;7.3;4655;1950
Les bons meurent jeunes;Thriller, Drama, Crime;6.7;1602;1950
Maggie;Comedy;6.9;1578;1950
Chaussure à son pied;Comedy, Romance, Drama;7.7;9467;1950
Un inspecteur vous demande;Romance, Drama, Crime, Mystery;7.5;5704;1950
La dernière fois que j'ai vu Paris;Romance, Drama;6.1;4511;1950
La nuit où mon destin s'est joué;Fantasy, Thriller, Drama, Mystery;7.0;1715;1950
La flamme pourpre;Adventure, Drama, Action, War;6.5;2602;1950
La bête s'éveille;Thriller, Drama;6.5;1368;1950
Trois meurtres;Mystery, Crime, Horror, Fantasy, Drama;6.5;1216;1950
Opération Tirpitz;Drama, War;6.6;1696;1950
La ferme des animaux;Drama, Animation;7.2;20121;1950
Le gang en soutane;Comedy, Drama, Crime;7.5;7381;1950
Bob le flambeur;Thriller, Drama, Crime, Action;7.6;13875;1950
Les indomptables de Colditz;Drama, War, History;6.9;3245;1950
Du rififi chez les hommes;Thriller, Drama, Crime, Action;8.1;38056;1950
Vivre un grand amour;Romance, Drama;6.5;1549;1950
Des pas dans le brouillard;Thriller, Drama, Crime;7.0;2359;1950
Les grandes manoeuvres;Comedy, Romance, Drama;6.7;1162;1950
L'enfant et la licorne;Comedy, Drama, Family;6.4;1235;1950
Tueurs de dames;Comedy, Crime;7.6;32926;1950
Lola Montès;Romance, Drama, History, Biography;7.2;6330;1950
Dossier secret;Thriller, Mystery, Film-Noir, Crime, Drama;7.1;9671;1950
La Pointe Courte;Romance, Drama;7.0;4611;1950
L'emprisonné;Drama;6.8;1184;1950
Les aventures de Quentin Durward;Adventure, Action, Romance, Drama, History;6.3;1193;1950
Razzia sur la chnouf;Thriller, Drama, Crime;7.0;1386;1950
Vacances à Venise;Comedy, Romance, Drama;7.1;10670;1950
1984;ScienceFiction, Drama, Sci-Fi;6.9;4551;1950
La bataille du Rio de la Plata;Adventure, Action, War, Drama, History;6.6;5097;1950
La Croisée des destins;Romance, Adventure, Drama, History;6.4;2199;1950
Peine capitale;Drama, Crime;7.1;1665;1950
Grand-rue;Drama;7.7;1739;1950
Commando sur la Gironde;Drama, Action, War;6.5;2146;1950
Elena et les hommes;Comedy, Romance, Drama;6.2;2236;1950
Et Dieu... créa la femme;Romance, Drama;6.3;9855;1950
Gervaise;Romance, Drama;7.4;1738;1950
Intelligence service;Adventure, Action, War, Drama, History;6.5;2118;1950
L'homme qui n'a jamais existé;Thriller, Drama, War, History;7.4;6087;1950
La mort en ce jardin;Adventure, Drama, Crime;6.7;2737;1950
Le Monstre;ScienceFiction, Horror, Sci-Fi;6.6;7765;1950
Vainqueur du ciel;Drama, War, History, Biography;7.2;3116;1950
Richard III;Drama, History, Biography;7.3;5570;1950
Le jardinier espagnol;Drama;6.7;1081;1950
S.O.S. Scotland Yard;Drama, Crime, Mystery;7.0;1504;1950
Temps sans pitié;Thriller, Mystery, Film-Noir, Crime, Drama;6.8;2185;1950
Ma vie commence en Malaisie;Romance, Drama, War;7.2;2033;1950
La Traversée de Paris;Comedy, Drama, War;7.3;4541;1950
Le vent souffle où il veut;Thriller, Drama, War, History;8.2;28976;1950
X: L'inconnu;ScienceFiction, Mystery, Horror, Sci-Fi;6.1;3462;1950
Pour que les autres vivent;Thriller, Adventure, Drama;7.5;2052;1950
Le Redoutable Homme des neiges;Adventure, Horror;6.4;5314;1950
Frontière dangereuse;Thriller, Drama, Crime;7.2;1151;1950
L'Admirable Crichton;Comedy, Adventure, Romance;7.1;2129;1950
Les amants de Montparnasse;Romance, Drama, History, Biography;7.3;1785;1950
Amère victoire;Drama, War;6.7;2396;1950
Il était un petit navire;Comedy;6.7;1296;1950
Le Pont de la rivière Kwaï;Adventure, Drama, War, History;8.1;241860;1950
L'assassin s'était trompé;Thriller, Film-Noir, Crime;7.0;3432;1950
The Chaplin Revue;Comedy;7.7;1688;1950
L'homme à démasquer;Thriller, Drama, Crime, Mystery;7.0;1541;1950
Frankenstein s'est échappé;Thriller, ScienceFiction, Horror, Sci-Fi;7.0;13448;1950
Les espions;Thriller, Drama, Mystery;6.7;1144;1950
Les monstres invisibles;ScienceFiction, Horror, Sci-Fi;6.1;5064;1950
L'enfer des tropiques;Romance, Adventure, Drama, Action;6.0;2095;1950
Le manoir du mystère;Film-Noir, Drama, Crime;6.8;1020;1950
Une bombe pas comme les autres;Comedy, Crime;7.1;2510;1950
Un roi à New York;Comedy, Drama;7.0;9362;1950
Les trafiquants de nuit;Thriller, Film-Noir, Drama, Crime;6.7;1098;1950
Maigret tend un piège;Drama, Crime, Mystery;7.2;2356;1950
Mon oncle;Comedy;7.7;25217;1950
La vérité presque nue;Comedy;6.8;2105;1950
Rendez-vous avec la peur;Fantasy, Mystery, Horror;7.4;16443;1950
Notre-Dame de Paris;Fantasy, History, Drama, Horror;6.6;3341;1950
Les nuits blanches;Romance, Drama;7.7;9626;1950
Les nuits de Cabiria;Drama;8.1;54936;1950
L'évadé du camp 1;Adventure, Drama, War, History;7.1;2616;1950
Le prince et la danseuse;Comedy, Romance;6.4;9501;1950
La marque;ScienceFiction, Horror, Sci-Fi;6.7;5023;1950
La Revanche de Frankenstein;ScienceFiction, Horror, Sci-Fi;6.7;6551;1950
Sainte Jeanne;Drama, History, Biography;6.4;1346;1950
Sous le plus petit chapiteau du monde;Comedy;7.0;2382;1950
La Parisienne;Comedy;6.2;1072;1950
Voici le temps des assassins...;Thriller, Drama, Crime;7.5;1814;1950
La Femme en robe de chambre;Romance, Drama;7.3;1004;1950
Ascenseur pour l'échafaud;Thriller, Drama, Crime;7.9;30212;1950
Le Beau Serge;Drama;7.1;3935;1950
Fric-Fracs à gogo;Comedy;6.4;1473;1950
Bonjour tristesse;Romance, Drama;6.8;5966;1950
Un thermomètre pour le colonel;Comedy, Romance;6.2;3367;1950
Allez-y sergent!;Comedy, War;6.3;3154;1950
Agent secret S.Z;Drama, War, Biography;7.2;1957;1950
Christine;Comedy, Romance, Drama, History;6.3;1324;1950
Les diables du désert;Drama, Action, War;6.7;1253;1950
Corridors of Blood;Thriller, Drama, Crime, Horror;6.4;2433;1950
Le Cauchemar de Dracula;Drama, Horror;7.2;29664;1950
Dunkerque;Drama, Action, War, History;7.1;3735;1950
En cas de malheur;Romance, Drama, Crime;6.7;1722;1950
Inspecteur de service;Comedy, Drama, Crime, Action;6.6;1720;1950
La sépulture maudite;Mystery, Crime, Horror;6.2;2190;1950
Train d'enfer;Thriller, Film-Noir, Drama, Crime;7.2;4363;1950
Contre-espionnage à Gibraltar;Drama, War, History;6.9;1754;1950
Indiscret;Comedy, Romance;6.7;10675;1950
L'auberge du sixième bonheur;Drama, War, Biography;7.2;5619;1950
La clé;Romance, Drama, War;6.7;1782;1950
La loi c'est la loi;Comedy;7.4;1145;1950
La paix du dimanche;Drama;7.0;4548;1950
Moi, un noir;Drama, Documentary;7.3;1153;1950
Jeunes filles en uniforme;Drama;7.0;1891;1950
L'affaire Blaireau;Comedy, Family;7.1;2177;1950
Atlantique, latitude 41°;Action, Drama, History;7.9;18416;1950
Le criminel aux abois;Thriller, Drama, Crime;6.8;1150;1950
La blonde et le shérif;Comedy, Romance, Western;6.0;1438;1950
L'homme au masque de verre;Thriller, Mystery, Crime, Horror;6.7;1948;1950
General me voila!;Comedy, War;6.8;1676;1950
Le conte des deux villes;Romance, Drama, History;7.1;1681;1950
Le Tigre d'Eschnapur;Romance, Adventure, Drama;6.6;3385;1950
Too Many Crooks;Comedy, Crime;6.9;1320;1950
Chef de réseau;Thriller, Drama, War;6.9;1072;1950
Les Aventures de Tom Pouce;Music, Adventure, Musical, Family, Fantasy;6.4;3009;1950
Les amants;Romance, Drama;7.2;6190;1950
Un témoin dans la ville;Thriller, Drama, Crime;6.9;1003;1950
Hold-up à la milanaise;Comedy, Crime;6.9;1266;1950
La bataille des sexes;Comedy, Crime;6.6;1837;1960
Le Bossu;Adventure, Action, History;6.9;1615;1950
Le collège s'en va-t-en guerre;Comedy;6.2;2798;1950
Danger Ahead;Romance, Thriller, Drama, Crime;7.5;4747;1960
Les cousins;Drama;7.2;3403;1950
Deux hommes dans Manhattan;Thriller, Drama, Crime;6.6;2379;1950
Au fil de l'épée;Romance, War, Comedy, Drama, History;6.9;3080;1950
Le déjeuner sur l'herbe;Comedy, Romance;6.5;1504;1950
Été violent;Romance, Drama, War;7.3;2043;1950
La fièvre monte à El Pao;Drama;6.8;1426;1950
L'impasse aux Violences;Thriller, Drama, Crime, Horror;6.9;2523;1960
La grande guerre;Comedy, Drama, War;8.1;4849;1950
Hiroshima mon amour;Romance, Drama, History;7.8;37848;1950
Après moi le déluge;Comedy;7.1;4584;1950
Le Tombeau hindou;Romance, Adventure, Drama;6.6;3116;1950
Kapò;Drama, War, History;7.6;2800;1960
Hold-up à Londres;Comedy, Thriller, Drama, Crime;7.2;5550;1960
Les liaisons dangereuses;Romance, Drama;6.8;1594;1950
