tconst;id;frenchTitle;primaryTitle;averageRating;runtimeMinutes;genres;startYear;overview;directors;acteurs;poster_path;video;frenchOverview
tt5566778;457685;Island Zero;Island Zero;4.7;99;Mystery, Drama, Horror;2018;A fishing community on a remote Maine island finds itself suddenly cut off from the rest of the world after the ferry stops coming. When people start to vanish, the terrified survivors realize that someone - or something - is hunting them.;Josh Gerritsen;Laila Robins, Adam Wade McLaughlin, Teri Reeves;https://image.tmdb.org/t/p/original//6adngrdiotjpAFXivW2ujTUtTUc.jpg;Non disponible;
tt5566790;391710;Une drôle de fin;A Futile and Stupid Gesture;6.7;101;Comedy, Biography;2018;"In a life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.";David Wain;Frank Gingerich, Morgan Gingerich, Annette O'Toole;https://image.tmdb.org/t/p/original//kyHBeRgbbhs7kVrZYblVj9u2Xbd.jpg;Non disponible;"Tout en vivant succès et échecs, Doug Kenney, cofondateur du magazine ""National Lampoon"", a bâti un empire comique et façonné la culture pop des années 1970."
tt5577494;565307;Clemency;Clemency;6.5;112;Drama;2019;Years of carrying out death row executions have taken a toll on prison warden Bernadine Williams. As she prepares to execute another inmate, Bernadine must confront the psychological and emotional demons her job creates, ultimately connecting her to the man she is sanctioned to kill.;Chinonye Chukwu;Alfre Woodard, Richard Schiff, Aldis Hodge;https://image.tmdb.org/t/p/original//g5oDDGbEx7GxA3vtgqfxHprpbmz.jpg;Non disponible;Bernadine Williams, surveillante de prison, doit encore conduire un détenu à travers le Couloir de la Mort. Peu à peu, son travail devient insupportable.
tt5577742;433244;Clinical;Clinical;5.1;104;Horror, Thriller;2017;A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.;Alistair Legrand;Vinessa Shaw, Kevin Rahm, India Eisley;https://image.tmdb.org/t/p/original//sC0A6jurEqzWgfcWwdPVeIBJ9Dq.jpg;Non disponible;Quand un patient défiguré vient la consulter, une psychiatre revoit en boucle l’attaque qui l’a elle‐même traumatisée.
tt5580036;389015;Moi, Tonya;I, Tonya;7.5;119;Drama, Comedy, Biography;2017;Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the sport is thrown into doubt when her ex-husband intervenes.;Craig Gillespie;Margot Robbie, Sebastian Stan, Allison Janney;https://image.tmdb.org/t/p/original//oDOvbITSIV314ZK1C8yQns6B4FU.jpg;https://www.youtube.com/watch?v=iCp5a4AFbMg;Le parcours de la sportive controversée Tonya Harding, championne de patinage artistique dans les années 80‐90, première femme à réussir un triple axel dans une compétition majeure, mais surtout connue aujourd’hui pour sa célèbre rivalité avec la patineuse Nancy Kerrigan aux JO de 1994 et sa tentative avec son mari de nuire à sa rivale.
tt5580266;470044;The Hate U Give: La haine qu'on donne;The Hate U Give;7.5;133;Crime, Drama;2018;Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.;George Tillman Jr.;Amandla Stenberg, Regina Hall, Russell Hornsby;https://image.tmdb.org/t/p/original//7B3F6yELtvQvUA2xLk6Uq8VH0Cs.jpg;https://www.youtube.com/watch?v=Z_fgfOC5Jbc;Starr est témoin de la mort de son meilleur ami d’enfance, Khalil, tué par balles par un officier de police. Confrontée aux nombreuses pressions de sa communauté, Starr doit trouver sa voix et se battre pour ce qui est juste.
tt5580390;399055;La Forme de l'eau;The Shape of Water;7.3;123;Drama, Fantasy, Romance;2017;An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.;Guillermo del Toro;Sally Hawkins, Octavia Spencer, Michael Shannon;https://image.tmdb.org/t/p/original//c8lQpZWiRgv671BPu9bgzuFkveC.jpg;https://www.youtube.com/watch?v=MP1X8RJEVfU;Modeste employée d’un laboratoire gouvernemental ultra secret, Elisa mène une existence morne et solitaire, d’autant plus isolée qu’elle est muette. Sa vie bascule à jamais lorsqu’elle et sa collègue Zelda découvrent une expérience encore plus secrète que les autres…
tt5580392;515333;Amateur;Amateur;5.9;96;Drama, Sport;2018;14-year-old basketball phenom Terron Forte has to navigate the under-the-table world of amateur athletics when he is recruited to an elite NCAA prep school.;Ryan Koo;Michael Rainey Jr., Tekola Cornetet, Hanna Longo;https://image.tmdb.org/t/p/original//nWUvlNxKSMdegAoY5eMOqPwMKIb.jpg;Non disponible;Après avoir été recruté par une école préparatoire d'élite, un jeune prodige du basket est confronté à la corruption et à la cupidité qui règnent sur les sports amateurs.
tt5580536;388202;Arsenal;Arsenal;4.0;92;Crime, Action, Thriller;2017;After the deadbeat brother of a businessman is assumed to be in on his own kidnapping, his sibling must take action to rescue him.;Steven C. Miller;Nicolas Cage, John Cusack, Adrian Grenier;https://image.tmdb.org/t/p/original//zDriMSMor8ofESkYnFBmm6oXHjy.jpg;https://www.youtube.com/watch?v=sHCiMwSfb0s;"Le frère bon à rien d'un homme d'affaires de Philadelphie est kidnappé. Une forte rançon est exigée, mais les gens commencent à penser que le bon à rien est de mèche dans ce ""kidnapping""."
tt5581752;525705;Ulysses: A Dark Odyssey;Ulysses: A Dark Odyssey;3.9;115;Crime, Drama, Adventure, Action;2018;Taurus City, The United States of Europe, 2023. Uly, a disillusioned soldier riddled with amnesia, returns home from a war in the Middle East, knowing only that he must desperately comb the city to find his beloved wife, Penelope. Fate fills this endless night with a series of chance meetings. Whether it be the wealthy Alcyde, the beastly cyclops Popov, Aeo the Gyspy, or Cici the Sorceress, good or evil that they be, each encounter fills in a missing piece of Uly's memory, so that he can finally face his past.;Federico Alotto;Danny Glover, Udo Kier, Anamaria Marinca;https://image.tmdb.org/t/p/original//jVbN1kndi6DccIjobIYwrrSnYTv.jpg;Non disponible;Ulysse, un soldat blessé et tourmenté, s’est échappé après avoir été emprisonné pendant 7 ans. Lorsqu’il rentre chez lui, il découvre que sa femme Pénélope est détenue par Monsieur Océan, le chef du monde sous-marin de Taurus City. Lors de son périple dans les enfers à la recherche de sa femme disparue, Ulysse va se confronter à des beautés psychédéliques, des créatures enchanteresses et à ses propres démons intérieurs.
tt5585272;737666;Through the Glass Darkly;Through the Glass Darkly;5.6;103;Mystery, Thriller;2020;A year after Charlie's daughter disappears, another girl from Elrod, Georgia goes missing. Convinced there is a connection, Charlie draws suspicion and contempt from local law enforcement and townspeople as she stops at nothing to expose its most devastating and darkest secret.;Lauren Fash;Robyn Lively, Michael Trucco, Shanola Hampton;https://image.tmdb.org/t/p/original//fKLfCWHGFLQjS2ZbIa35sjXh4nE.jpg;Non disponible;
tt5591666;426814;The Domestics;The Domestics;5.7;95;Horror, Action, Thriller, Sci-Fi;2018;A young husband and wife must fight to return home in a post-apocalyptic mid-western landscape ravaged by gangs.;Mike P. Nelson;Kate Bosworth, Tyler Hoechlin, Sonoya Mizuno;https://image.tmdb.org/t/p/original//j64I3u1wwgPct3stvvKU2ikl14w.jpg;Non disponible;Dans un monde postapocalyptique gangréné par des gangs sanguinaires, Nina (Kate Bosworth) et Mark (Tyler Hoechlin) arpentent des contrées sans foi ni loi pour trouver un refuge et, à bout de souffle, doivent rester solidaires pour survivre.
tt5592248;399019;Les Proies;The Beguiled;6.3;93;History, Drama, Thriller;2017;During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events.;Sofia Coppola;Nicole Kidman, Kirsten Dunst, Elle Fanning;https://image.tmdb.org/t/p/original//txpfGlymYmfWdSc2KWayzLNKIn0.jpg;https://www.youtube.com/watch?v=8Bw9_BWnWKE;La vie d’un pensionnat de jeunes filles dans l’Etat de Virginie en 1864. Alors que la guerre civile fait rage, le pensionnat pour jeunes filles de Miss Martha Farnsworth reste totalement coupé du monde – jusqu’à ce qu’à proximité, soit découvert un soldat blessé que le pensionnat va héberger.
