tconst;primaryTitle;title;frenchTitle;startYear;genres;production_countries;runtimeMinutes;revenue;tagline;overview;id;averageRating;numVotes;actor1;actor2;actor3
tt0013201;Grandma's Boy;Grandma's Boy;Le talisman de Grand-mère;1922;Comedy, Family;US;60;0.0;Where Laughter Reigns and Joy Pours!;A meek young man must find the courage within when a rogue tramp menaces his home town.;22592;7.0;2158;Harold Lloyd;Mildred Davis;Anna Townsend
tt0013556;Robin Hood;Robin Hood;Robin des Bois;1922;Adventure, Drama, Action, Family, Romance;US;143;0.0;;Amid big-budget medieval pageantry, King Richard goes on the Crusades leaving his brother Prince John as regent, who promptly emerges as a cruel, grasping, treacherous tyrant. Apprised of England's peril by message from his lady-love Marian, the dashing Earl of Huntingdon endangers his life and honor by returning to oppose John, but finds himself and his friends outlawed, with Marian apparently dead. Enter Robin Hood, acrobatic champion of the oppressed, laboring to set things right through swashbuckling feats and cliffhanging perils!;71066;7.0;2585;Douglas Fairbanks;Wallace Beery;Sam De Grasse
tt0013571;Salomé;Salomé;Salomé;1922;Drama, Fantasy, Horror, Biography, History;US;72;0.0;;Based on Oscar Wilde's play, the films tells the story of how Salomé agrees to dance for King Herod in return for the head of John the Baptist.;96951;6.6;1287;Alla Nazimova;Nigel De Brulier;Mitchell Lewis
tt0013750;When Knighthood Was in Flower;When Knighthood Was in Flower;Sur les marches d'un trône;1922;Drama, Romance;US;120;0.0;;Mary Tudor falls in love with a new arrival to court, Charles Brandon. She convinces her brother King Henry VIII to make him his Captain of the Guard. Meanwhile, Henry is determined to marry her off to the aging King Louis XII of France as part of a peace agreement.;53801;6.5;1155;Marion Davies;Lyn Harding;William Norris
tt0013933;The Faithful Heart;Cœur fidèle;Coeur fidèle;1923;Drama, Romance;FR;87;0.0;;The good guys win out in this sweet tale about a young orphan who is abused for much of her life but who eventually finds happiness when she marries an honest man who extricates her from her situation.;67440;7.4;1543;Léon Mathot;Gina Manès;Edmond Van Daële
tt0014029;The Extra Girl;The Extra Girl;The Extra Girl;1923;Comedy, Romance, Crime;US;68;0.0;;Sue Graham is a small town girl who wants to be a motion picture star. She wins a contract when a picture of a very pretty girl is sent to a studio instead of her picture. When she arrives in Hollywood, the mistake is discovered and she starts working in the props department of the studio instead. Her parents then come out to California and invest some money with a very shifty individual.;54241;6.6;1239;Mabel Normand;Ralph Graves;George Nichols
tt0014142;The Hunchback of Notre Dame;The Hunchback of Notre Dame;Le Bossu de Notre-Dame;1923;Drama, Horror, Romance;US;133;1250000.0;;In 15th century France, a gypsy girl is framed for murder by the infatuated Chief Justice, and only the deformed bellringer of Notre Dame Cathedral can save her.;18987;7.2;6457;Lon Chaney;Patsy Ruth Miller;Norman Kerry
tt0014205;Little Old New York;Little Old New York;Little Old New York;1923;Comedy, Romance;US;110;0.0;Sweeping the nation like wildfire the world's greatest newspapers admit the magnificence;An Irish girl comes to America disguised as a boy to claim a fortune left to her brother who has died.;175693;6.3;1140;Marion Davies;Harrison Ford;Courtenay Foote
tt0014341;Our Hospitality;Our Hospitality;Les lois de l'hospitalité;1923;Thriller, Comedy, Romance;US;65;0.0;A Comedy with a Heart of Gold;"A young man falls for a young woman on his trip home; unbeknownst to him, her family has vowed to kill every member of his.";701;7.7;13084;Buster Keaton;Natalie Talmadge;Joe Keaton
tt0014358;The Pilgrim;The Pilgrim;Le pélerin;1923;Western, Comedy;US;47;0.0;The tale of an escaped prisoner who swiped a parson's clothes.;The Tramp is an escaped convict who is mistaken as a pastor in a small town church.;53430;7.2;5939;Charles Chaplin;Edna Purviance;Syd Chaplin
tt0014417;The Wheel;La Roue;La rose du rail;1923;Drama;FR;417;0.0;;Sisif, a railwayman, saves a young girl named Norma orphaned by a train crash and raises her as his own daughter alongside his son, Elie. As she becomes an adult, Sisif grapples with whether to tell Norma the truth about her parentage.;50182;7.5;2686;Gabriel de Gravone;Pierre Magnier;Georges Térof
tt0014429;Safety Last!;Safety Last!;Monte là-dessus!;1923;Thriller, Comedy, Action, Romance;US;74;1500000.0;"You're Going to Explode With ""Safety Laughs"" when You see This Fun Bomb.";When a store clerk organizes a contest to climb the outside of a tall building, circumstances force him to make the perilous climb himself.;22596;8.1;24008;Harold Lloyd;Mildred Davis;Bill Strother
tt0014497;Souls for Sale;Souls for Sale;Âmes à vendre;1923;Comedy, Drama, Romance;US;90;0.0;A Story of Motion Picture Studio Life;A young woman hits Hollywood, determined to become a star.;91208;7.0;1163;Eleanor Boardman;Mae Busch;Barbara La Marr
tt0014532;The Ten Commandments;The Ten Commandments;Les dix commandements;1923;History, Drama, Biography;US;136;0.0;;The first part tells the story of Moses leading the Jews from Egypt to the Promised Land, his receipt of the tablets and the worship of the golden calf. The second part shows the efficacy of the commandments in modern life through a story set in San Francisco. Two brothers, rivals for the love of Mary, also come into conflict when John discovers Dan used shoddy materials to construct a cathedral.;24805;6.8;2835;Theodore Roberts;Charles de Rochefort;Estelle Taylor
tt0014538;Three Ages;Three Ages;Les trois âges;1923;Comedy, Drama;US;63;0.0;A cyclone of laughs and thrills;The rituals of courtship, romantic rivalry and love play out three times as a man vies with a villain for the girl. In the Stone Age, the rivalry is set off by dinosaurs, a turtle used as a ouija board, and a round of golf with stones. In ancient Rome, the men display their brawn through a chariot race, using dogs instead of horses. In contemporary times, the man finds himself overcome by modernity, including a very fragile car.;32628;7.0;5538;Buster Keaton;Margaret Leahy;Wallace Beery
tt0014611;Why Worry?;Why Worry?;Faut pas s'en faire;1923;Comedy, Adventure, Family, Romance;US;63;0.0;Come and See the Enormous Giant, 8ft. 9in. high, who helps Harold Quell a Revolution in Six reels of the cleverest and funniest humor imaginable.;A hypochondriac vacations in the tropics for the fresh air - and finds himself in the middle of a revolution instead.;41348;7.3;2154;Harold Lloyd;Jobyna Ralston;John Aasen
tt0014624;A Woman of Paris: A Drama of Fate;A Woman of Paris: A Drama of Fate;L'opinion publique;1923;Drama, Romance;US;82;0.0;"""You Wouldn't Understand"" said the erstwhile village girl whom fate has turned into a woman of Paris when the richest bachelor in the world's gayest city pointed to her glittering gems, asking, ""What more do you want? You have everything.""";When Marie St. Clair believes she has been jilted by her artist fiance Jean, she decides to leave for Paris on her own. After spending a year in the city as a mistress of the wealthy Pierre Revel, she is reunited with Jean by chance. This leaves her with the choice between a glamorous life in Paris, and the true love she left behind.;28974;6.9;6583;Edna Purviance;Clarence Geldert;Carl Miller
tt0014945;Girl Shy;Girl Shy;Ça t'la coupe!;1924;Comedy, Action, Romance;US;87;1550000.0;;Harold Meadows is a shy, stuttering bachelor working in a tailor shop, who is writing a guidebook, The Secret of Making Love, for other bashful young men. Fate has him meet rich girl Mary, and they fall in love. But she is about to wed an already married man, so our hero embarks upon a hair-raising daredevil ride to prevent the wedding.;40574;7.7;3827;Harold Lloyd;Jobyna Ralston;Richard Daniels
tt0014972;He Who Gets Slapped;He Who Gets Slapped;Larmes de clown;1924;Thriller, Drama, Horror, Romance;US;95;881000.0;;Story of an inventor who, suffering betrayal in life, makes a career of it by becoming a clown whose act consists of getting slapped by all the other clowns. He falls in love with another circus performer, and those who betrayed him enter his life yet again.;27511;7.7;4615;Lon Chaney;Norma Shearer;John Gilbert
